 (mm),(inch),Workshop Bonding,Field Bonding,MY-MOS16,MY-MOS16C,Remarks
25,1,0.133333333,1,MY-C08(150),MY-C05(150),
40,1.5,0.2,1,MY-C08(150),MY-C05(150),
50,2,0.24,1,MY-C08(150),MY-C05(150),
65,2.5,0.27742163,1,MY-C08(150),MY-C05(150),
80,3,0.333338089,1,MY-C08(150),MY-C05(150),
100,4,0.415815797,1,MY-C08(150),MY-C05(150),
125,5,0.628798795,1,MY-C08(150),MY-C05(150),
150,6,0.858185709,1,MY-C08(150),MY-C05(150),
200,8,0.634318155,1,MY-C08(300),MY-C05(300),
250,10,0.850029723,1,MY-C08(300),MY-C05(300),
300,12,1.199086514,2,MY-C08(300),MY-C05(300),
350,14,1.485150398,2,MY-C08(300),MY-C05(300),
400,16,1.883333333,2,MY-C08(300),MY-C05(300),
450,18,2.296666667,3,MY-C08(300),MY-C05(300),
500,20,2.85,3,MY-C08(300),MY-C05(300),
550,22,3.353333333,4,MY-C08(300),MY-C05(300),
600,24,4.243333333,5,MY-C08(300),MY-C05(300),
650,26,4.75,5,MY-C08(300),MY-C05(300),
700,28,5.146666667,6,MY-C08(300),MY-C05(300),
750,30,5.503333333,6,MY-C08(300),MY-C05(300),
800,32,5.943333333,6,MY-C08(300),MY-C05(300),
850,34,,,MY-C08(300),MY-C05(300),
900,36,7.426666667,8,MY-C08(300),MY-C05(300),
1000,40,9.523333333,10,MY-C08(300),MY-C05(300),
