 (mm),(inch),Workshop Bonding,Field Bonding,MY-MOS25,MY-MOS25C,MY-MOS25U,MY-MOS25CU,Remarks
25,1,0.2,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
40,1.5,0.25,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
50,2,0.25,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
65,2.5,0.29,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
80,3,0.45,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
100,4,0.57,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
125,5,0.87,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
150,6,0.62,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
200,8,0.93,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
250,10,1.49,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
300,12,2.14,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
350,14,2.54,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
400,16,3.31,4,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
450,18,3.82,4,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
500,20,4.45,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
550,22,4.84,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
600,24,5.87,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
650,26,8.11,9,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
700,28,9.17,10,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
750,30,10.75,11,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
800,32,11.96,12,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
850,34,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
900,36,15.11,16,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
950,38,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1000,40,18.61,19,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1050,42,20.22,21,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1100,44,21.84,22,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1150,46,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1200,48,25.28,26,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1250,50,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1300,52,28.97,29,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1350,54,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1400,56,32.9,33,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1450,58,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1500,60,37.07,38,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1550,62,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1600,64,41.49,42,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1650,66,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1700,68,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1750,70,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1800,72,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1850,74,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1900,76,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1950,78,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
2000,80,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
